Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
AI Ethics is best defined as a critical branch of applied ethics focused on which of the following?,multiple-choice,Developing self-correcting algorithms to maximize economic profit.,,The moral principles and guidelines for the responsible development and deployment of artificial intelligence,,Creating legal compliance standards exclusively for government-funded AI projects.,,Automating human moral decision-making within AI systems.,,,,,,2,"AI ethics is a critical branch of applied ethics that focuses on the moral principles and guidelines for the responsible development and deployment of artificial intelligence. Its core purpose is to ensure that AI technologies are created and used in a manner that is beneficial to humanity, respects fundamental human rights, and minimizes the risk of harm.","AI Governance, Risk and Compliance"
"Which core concept of AI ethics is violated when an AI hiring tool, trained on historical data, systematically rates female or minority candidates lower than others, even with identical qualifications?",multiple-choice,Transparency and Explainability,,Human Agency and Control,,Fairness ad Non-Discriminatin,,Reliability and Safety,,,,,,3,"The principle of Fairness and Non-Discrimination requires that AI systems must treat all individuals and groups equitably, actively working to identify and mitigate unfair biases in data and algorithms. This includes preventing systemic bias that could lead to discriminatory outcomes in areas like hiring or lending.","AI Governance, Risk and Compliance"
Which of the 'Seven Cs of AI' emphasizes the need for AI systems to be understandable and their decisions explainable?,multiple-choice,Clarity,Clarity in AI refers to the transparency and interpretability of AI models and their outputs.,Control,,Cost,,Consequencs,,,,,,1,Clarity in AI refers to the transparency and interpretability of AI models and their outputs.,"AI Governance, Risk and Compliance"
A common concern during AI adoption is 'explainability'. What does this refer to?,multiple-choice,The capacity to understand why an AI system made a particular decision or prediction.,"Explainability is crucial for trust, debugging, and regulatory compliance, allowing stakeholders to comprehend AI outputs.",The speed at which AI models can be retrained.,,The cost of implementing AI solutions.,,The ability of an AI model to perform complex calculations quickly.,,,,,,3,"Explainability is crucial for trust, debugging, and regulatory compliance, allowing stakeholders to comprehend AI outputs.","AI Governance, Risk and Compliance"
"In AI Solutions Development, which best practice emphasizes creating models that are easy to understand and debug, particularly for non-technical stakeholders?",multiple-choice,Iterative Development,,Model interoptability and explainability (XAI),"Model interpretability (often called eXplainable AI or XAI) focuses on making the decision-making process of an AI model transparent. This is crucial for building trust, meeting regulatory requirements (e.g., GDPR's right to explanation), and enabling domain experts to understand and validate the model's logic, facilitating better adoption and debugging.",Feature Engineering,,Hyperparameter tuning,,,,,,2,"Model interpretability (often called eXplainable AI or XAI) focuses on making the decision-making process of an AI model transparent. This is crucial for building trust, meeting regulatory requirements (e.g., GDPR's right to explanation), and enabling domain experts to understand and validate the model's logic, facilitating better adoption and debugging.","AI Governance, Risk and Compliance"
"Which of the ""Seven Cs of AI"" primarily deals with ensuring that the AI system's actions are aligned with ethical principles and societal values?",multiple-choice,Clarity,,Consistency,,Compliance ,,Consequence,"The ""Seven Cs of AI"" are a framework for responsible AI development. ""Consequence"" specifically addresses the impact of AI systems on individuals and society. It encourages developers to consider potential biases, fairness, privacy, and the broader ethical implications of their AI solutions, promoting beneficial and responsible AI.",,,,,4,"The ""Seven Cs of AI"" are a framework for responsible AI development. ""Consequence"" specifically addresses the impact of AI systems on individuals and society. It encourages developers to consider potential biases, fairness, privacy, and the broader ethical implications of their AI solutions, promoting beneficial and responsible AI.","AI Governance, Risk and Compliance"
"A common concern during AI adoption is ""algorithmic bias."" What is the most effective strategy to mitigate this concern?",multiple-choice,Using only publicly available datasets for training,,Ensuring diverse and representative training data,"Algorithmic bias occurs when AI models produce unfair or inaccurate outcomes due to biases in the training data. The most effective way to combat this is by meticulously curating and diversifying the training data to ensure it accurately reflects the real-world population and scenarios, thereby reducing the likelihood of the model learning and perpetuating harmful biases.",Developing highly complex deep learning models,,Minimizing human oversight in the AI development process,,,,,,2,"Algorithmic bias occurs when AI models produce unfair or inaccurate outcomes due to biases in the training data. The most effective way to combat this is by meticulously curating and diversifying the training data to ensure it accurately reflects the real-world population and scenarios, thereby reducing the likelihood of the model learning and perpetuating harmful biases.","AI Governance, Risk and Compliance"
"A customer expresses concern about the ""black box"" nature of AI models. What is the best way to address this objection?",multiple-choice,Reassure them that the AI is too complex for anyone to understand.,,Focus on demonstrating the accuracy of the model's predictions.,,Explain the concept of explainable AI (XAI) and show how model decisions can be interpreted.,,Suggest they simply trust the technology.,,,,,,3,"The ""black box"" objection refers to the lack of transparency in how complex AI models arrive at their conclusions. Addressing this involves explaining and demonstrating XAI techniques (e.g., LIME, SHAP, feature importance) that provide insights into the model's reasoning, building trust and alleviating concerns about opaque decision-making.","AI Governance, Risk and Compliance"
What is a key ethical consideration when selling AI/ML solutions?,multiple-choice,Promising that the AI solution is 100% accurate and will never make mistakes.,,Being transparent about the potential for bias in the AI model and taking steps to mitigate it.,This is a core principle of responsible AI and is crucial for building trust with clients and avoiding harmful outcomes.,Using the client's data for your own purposes without their consent.,,Maximizing the profit from every sale. ,,,,,,2,This is a core principle of responsible AI and is crucial for building trust with clients and avoiding harmful outcomes.,"AI Governance, Risk and Compliance"
"The NIST AI Risk Management Framework (AI RMF), a voluntary document from the US, is best characterized as providing a:",multiple-choice,Set of binding global legal requirements for AI.,,Foundation for international AI policies used by the G20.,,"Voluntary, actionable toolkit for organizations to systematically govern and manage AI risks.",,,Philosophical statement on human rights in the age of AI.,,,,,3,"The NIST AI RMF (2023) is provided by the U.S. National Institute of Standards and Technology and is designed to provide a voluntary, actionable toolkit for organizations to systematically govern and manage AI risks. Its core principles focus on validity, reliability, safety, security, and fairness.","AI Governance, Risk and Compliance"
